district,percent uninsured,state
71,15.1,arkansas
72,13.1,arkansas
73,11.7,arkansas
74,10.2,arkansas
75,8.6,arkansas
76,10.5,arkansas
77,15.5,arkansas
78,22.6,arkansas
79,13.2,arkansas
80,11.7,arkansas
81,10.5,arkansas
82,11.9,arkansas
83,12.9,arkansas
84,8.9,arkansas
85,12.0,arkansas
86,10.6,arkansas
87,12.8,arkansas
88,20.1,arkansas
89,21.8,arkansas
90,11.0,arkansas
91,9.0,arkansas
92,8.5,arkansas
93,8.4,arkansas
94,17.5,arkansas
95,9.7,arkansas
96,15.6,arkansas
97,14.7,arkansas
98,12.7,arkansas
99,11.3,arkansas
100,8.5,arkansas
1,11.2,california
2,11.8,california
3,11.7,california
4,10.3,california
5,10.9,california
6,6.3,california
7,12.1,california
8,10.6,california
9,9.8,california
10,8.1,california
11,8.3,california
12,10.1,california
13,12.1,california
14,10.0,california
15,9.2,california
16,3.9,california
17,8.0,california
18,12.1,california
19,6.4,california
20,8.5,california
21,13.4,california
22,6.4,california
23,10.2,california
24,6.2,california
25,6.5,california
26,14.6,california
27,11.5,california
28,6.2,california
29,9.6,california
30,14.9,california
31,18.4,california
32,17.3,california
33,12.3,california
34,9.9,california
35,13.2,california
36,12.3,california
37,11.3,california
38,8.8,california
39,18.2,california
40,12.8,california
41,9.3,california
42,12.0,california
43,13.8,california
44,13.4,california
45,13.0,california
46,17.8,california
47,18.2,california
48,15.2,california
49,13.9,california
50,9.0,california
51,20.9,california
52,17.6,california
53,29.7,california
54,14.0,california
55,10.0,california
56,18.5,california
57,14.6,california
58,17.1,california
59,25.0,california
60,15.5,california
61,16.6,california
62,16.3,california
63,19.6,california
64,19.3,california
65,15.0,california
66,8.5,california
67,11.7,california
68,10.1,california
69,22.8,california
70,13.8,california
71,11.6,california
72,12.1,california
73,7.1,california
74,8.6,california
75,13.9,california
76,11.0,california
77,6.1,california
78,10.5,california
79,12.5,california
80,19.7,california
1,19.7,colorado
2,9.0,colorado
3,9.5,colorado
4,16.0,colorado
5,16.5,colorado
6,9.1,colorado
7,12.7,colorado
8,10.2,colorado
9,11.6,colorado
10,6.9,colorado
11,10.3,colorado
12,7.4,colorado
13,8.6,colorado
14,5.7,colorado
15,6.0,colorado
16,11.5,colorado
17,18.1,colorado
18,13.1,colorado
19,6.7,colorado
20,6.7,colorado
21,7.0,colorado
22,5.3,colorado
23,11.8,colorado
24,9.4,colorado
25,5.5,colorado
26,16.2,colorado
27,5.4,colorado
28,10.7,colorado
29,8.3,colorado
30,17.3,colorado
31,13.1,colorado
32,18.9,colorado
33,5.1,colorado
34,16.6,colorado
35,13.7,colorado
36,11.9,colorado
37,5.8,colorado
38,6.4,colorado
39,5.7,colorado
40,9.5,colorado
41,14.7,colorado
42,23.5,colorado
43,3.9,colorado
44,4.8,colorado
45,3.8,colorado
46,8.6,colorado
47,9.7,colorado
48,8.8,colorado
49,7.4,colorado
50,14.8,colorado
51,9.4,colorado
52,8.4,colorado
53,8.5,colorado
54,13.8,colorado
55,12.0,colorado
56,10.1,colorado
57,20.8,colorado
58,16.1,colorado
59,14.1,colorado
60,11.5,colorado
61,16.6,colorado
62,14.5,colorado
63,10.5,colorado
64,9.9,colorado
65,12.3,colorado
1,14.4,connecticut
2,7.0,connecticut
3,14.4,connecticut
4,13.3,connecticut
5,6.4,connecticut
6,12.5,connecticut
7,9.0,connecticut
8,3.2,connecticut
9,7.4,connecticut
10,7.6,connecticut
11,8.3,connecticut
12,6.2,connecticut
13,5.3,connecticut
14,2.4,connecticut
15,4.8,connecticut
16,2.6,connecticut
17,2.7,connecticut
18,3.0,connecticut
19,2.1,connecticut
20,5.7,connecticut
21,2.2,connecticut
22,6.3,connecticut
23,5.5,connecticut
24,7.3,connecticut
25,9.4,connecticut
26,6.6,connecticut
27,3.9,connecticut
28,4.2,connecticut
29,3.2,connecticut
30,2.7,connecticut
31,2.4,connecticut
32,5.5,connecticut
33,4.0,connecticut
34,3.2,connecticut
35,7.6,connecticut
36,4.2,connecticut
37,3.5,connecticut
38,5.2,connecticut
39,10.7,connecticut
40,4.2,connecticut
41,6.2,connecticut
42,4.4,connecticut
43,5.5,connecticut
44,5.3,connecticut
45,5.1,connecticut
46,7.7,connecticut
47,6.8,connecticut
48,4.2,connecticut
49,7.1,connecticut
50,3.1,connecticut
51,7.9,connecticut
52,5.1,connecticut
53,4.6,connecticut
54,2.8,connecticut
55,2.6,connecticut
56,6.6,connecticut
57,3.2,connecticut
58,6.9,connecticut
59,5.6,connecticut
60,4.4,connecticut
61,3.5,connecticut
62,2.8,connecticut
63,6.0,connecticut
64,6.2,connecticut
65,11.6,connecticut
66,4.5,connecticut
67,8.0,connecticut
68,3.4,connecticut
69,2.6,connecticut
70,7.9,connecticut
71,6.0,connecticut
72,13.5,connecticut
73,7.7,connecticut
74,13.9,connecticut
75,13.0,connecticut
76,4.1,connecticut
77,4.3,connecticut
78,5.5,connecticut
79,8.8,connecticut
80,3.9,connecticut
81,4.8,connecticut
82,4.5,connecticut
83,4.0,connecticut
84,9.3,connecticut
85,4.3,connecticut
86,2.2,connecticut
87,3.6,connecticut
88,3.1,connecticut
89,3.9,connecticut
90,3.7,connecticut
91,5.7,connecticut
92,10.1,connecticut
93,7.5,connecticut
94,8.7,connecticut
95,16.3,connecticut
96,7.9,connecticut
97,15.0,connecticut
98,3.2,connecticut
99,7.6,connecticut
100,5.2,connecticut
101,2.6,connecticut
102,5.3,connecticut
103,3.0,connecticut
104,8.6,connecticut
105,4.1,connecticut
106,2.7,connecticut
107,4.2,connecticut
108,5.2,connecticut
109,15.5,connecticut
110,30.3,connecticut
111,5.0,connecticut
112,2.0,connecticut
113,4.7,connecticut
114,5.7,connecticut
115,10.2,connecticut
116,13.3,connecticut
117,3.8,connecticut
118,4.6,connecticut
119,4.1,connecticut
120,4.5,connecticut
121,8.5,connecticut
122,2.1,connecticut
123,3.6,connecticut
124,18.4,connecticut
125,4.1,connecticut
126,12.2,connecticut
127,15.3,connecticut
128,20.6,connecticut
129,20.7,connecticut
130,17.7,connecticut
131,5.9,connecticut
132,1.9,connecticut
133,7.6,connecticut
134,3.2,connecticut
135,4.5,connecticut
136,2.6,connecticut
137,19.0,connecticut
138,8.4,connecticut
139,4.8,connecticut
140,29.2,connecticut
141,4.9,connecticut
142,11.4,connecticut
143,7.0,connecticut
144,7.0,connecticut
145,19.7,connecticut
146,15.1,connecticut
147,5.0,connecticut
148,19.9,connecticut
149,4.4,connecticut
150,8.0,connecticut
151,4.1,connecticut
1,5.7,delaware
2,8.9,delaware
3,11.6,delaware
4,6.0,delaware
5,7.8,delaware
6,5.0,delaware
7,5.0,delaware
8,5.7,delaware
9,4.5,delaware
10,5.0,delaware
11,11.7,delaware
12,4.3,delaware
13,8.1,delaware
14,5.3,delaware
15,8.2,delaware
16,8.2,delaware
17,10.4,delaware
18,7.9,delaware
19,9.9,delaware
20,6.8,delaware
21,6.6,delaware
22,1.9,delaware
23,5.7,delaware
24,9.1,delaware
25,2.8,delaware
26,12.7,delaware
27,5.3,delaware
28,7.5,delaware
29,10.1,delaware
30,6.3,delaware
31,5.8,delaware
32,7.8,delaware
33,5.8,delaware
34,6.7,delaware
35,9.3,delaware
36,7.4,delaware
37,13.2,delaware
38,7.1,delaware
39,7.7,delaware
40,7.9,delaware
41,13.0,delaware
1,12.6,florida
2,12.5,florida
3,12.6,florida
4,13.2,florida
5,15.4,florida
6,16.2,florida
7,15.6,florida
8,15.0,florida
9,6.5,florida
10,14.5,florida
11,12.3,florida
12,12.5,florida
13,17.1,florida
14,14.6,florida
15,14.0,florida
16,12.3,florida
17,8.5,florida
18,11.1,florida
19,17.3,florida
20,16.1,florida
21,11.1,florida
22,16.7,florida
23,14.8,florida
24,15.0,florida
25,13.2,florida
26,17.8,florida
27,14.9,florida
28,12.3,florida
29,12.9,florida
30,16.7,florida
31,14.8,florida
32,13.2,florida
33,8.6,florida
34,12.4,florida
35,13.6,florida
36,17.6,florida
37,10.6,florida
38,12.3,florida
39,14.4,florida
40,13.0,florida
41,18.8,florida
42,17.1,florida
43,22.1,florida
44,12.9,florida
45,20.6,florida
46,25.0,florida
47,15.0,florida
48,22.3,florida
49,17.5,florida
50,11.6,florida
51,15.2,florida
52,11.8,florida
53,13.1,florida
54,15.3,florida
55,17.0,florida
56,18.3,florida
57,11.3,florida
58,19.0,florida
59,13.5,florida
60,10.0,florida
61,19.6,florida
62,22.3,florida
63,14.1,florida
64,9.1,florida
65,11.2,florida
66,13.8,florida
67,17.1,florida
68,13.8,florida
69,13.3,florida
70,21.0,florida
71,15.5,florida
72,15.3,florida
73,9.4,florida
74,10.7,florida
75,14.0,florida
76,12.4,florida
77,16.4,florida
78,17.7,florida
79,20.6,florida
80,22.7,florida
81,13.0,florida
82,13.9,florida
83,16.4,florida
84,16.8,florida
85,10.5,florida
86,13.4,florida
87,32.9,florida
88,23.3,florida
89,12.4,florida
90,15.3,florida
91,7.6,florida
92,24.6,florida
93,14.3,florida
94,22.8,florida
95,24.5,florida
96,14.2,florida
97,15.8,florida
98,13.0,florida
99,17.4,florida
100,16.6,florida
101,23.9,florida
102,20.3,florida
103,21.2,florida
104,10.1,florida
105,24.9,florida
106,12.3,florida
107,29.2,florida
108,28.9,florida
109,27.5,florida
110,25.7,florida
111,30.4,florida
112,20.2,florida
113,27.3,florida
114,15.7,florida
115,15.0,florida
116,18.8,florida
117,24.2,florida
118,19.2,florida
119,20.3,florida
120,24.5,florida
1,17.1,georgia
2,12.9,georgia
3,14.6,georgia
4,22.8,georgia
5,18.9,georgia
6,19.8,georgia
7,18.4,georgia
8,15.7,georgia
9,14.0,georgia
10,16.1,georgia
11,15.0,georgia
12,15.2,georgia
13,18.0,georgia
14,13.8,georgia
15,16.2,georgia
16,15.8,georgia
17,13.9,georgia
18,16.7,georgia
19,12.2,georgia
20,12.7,georgia
21,12.4,georgia
22,10.5,georgia
23,20.3,georgia
24,10.5,georgia
25,6.4,georgia
26,11.1,georgia
27,15.0,georgia
28,16.7,georgia
29,26.2,georgia
30,20.6,georgia
31,13.1,georgia
32,18.0,georgia
33,14.8,georgia
34,12.8,georgia
35,13.0,georgia
36,6.3,georgia
37,21.0,georgia
38,16.7,georgia
39,22.3,georgia
40,9.1,georgia
41,27.5,georgia
42,33.9,georgia
43,10.8,georgia
44,11.1,georgia
45,5.8,georgia
46,8.1,georgia
47,6.8,georgia
48,18.3,georgia
49,6.9,georgia
50,9.7,georgia
51,13.5,georgia
52,10.9,georgia
53,13.9,georgia
54,6.0,georgia
55,16.9,georgia
56,13.8,georgia
57,15.5,georgia
58,16.4,georgia
59,16.6,georgia
60,25.7,georgia
61,17.4,georgia
62,15.0,georgia
63,13.6,georgia
64,14.7,georgia
65,14.7,georgia
66,15.4,georgia
67,12.3,georgia
68,15.1,georgia
69,12.4,georgia
70,12.5,georgia
71,8.0,georgia
72,8.4,georgia
73,15.1,georgia
74,26.3,georgia
75,21.8,georgia
76,14.0,georgia
77,25.8,georgia
78,17.5,georgia
79,12.2,georgia
80,14.1,georgia
81,27.7,georgia
82,18.5,georgia
83,12.4,georgia
84,13.1,georgia
85,22.6,georgia
86,18.9,georgia
87,17.3,georgia
88,20.8,georgia
89,15.2,georgia
90,13.8,georgia
91,15.5,georgia
92,21.9,georgia
93,13.4,georgia
94,13.6,georgia
95,13.2,georgia
96,28.9,georgia
97,12.5,georgia
98,13.4,georgia
99,40.3,georgia
100,26.2,georgia
101,21.7,georgia
102,14.8,georgia
103,10.7,georgia
104,14.1,georgia
105,15.2,georgia
106,12.6,georgia
107,15.1,georgia
108,18.2,georgia
109,11.6,georgia
110,13.1,georgia
111,13.3,georgia
112,12.8,georgia
113,14.8,georgia
114,12.3,georgia
115,13.8,georgia
116,17.7,georgia
117,13.7,georgia
118,17.6,georgia
119,11.3,georgia
120,16.0,georgia
121,12.9,georgia
122,5.6,georgia
123,10.0,georgia
124,19.4,georgia
125,16.1,georgia
126,14.8,georgia
127,14.5,georgia
128,16.5,georgia
129,15.2,georgia
130,14.8,georgia
131,17.1,georgia
132,15.6,georgia
133,11.0,georgia
134,10.6,georgia
135,22.0,georgia
136,13.8,georgia
137,13.2,georgia
138,14.8,georgia
139,19.6,georgia
140,15.5,georgia
141,10.6,georgia
142,17.6,georgia
143,17.7,georgia
144,11.8,georgia
145,13.7,georgia
146,12.6,georgia
147,14.1,georgia
148,16.0,georgia
149,17.0,georgia
150,14.5,georgia
151,18.3,georgia
152,14.8,georgia
153,20.6,georgia
154,18.8,georgia
155,19.9,georgia
156,20.4,georgia
157,18.2,georgia
158,19.5,georgia
159,15.2,georgia
160,14.9,georgia
161,11.1,georgia
162,21.6,georgia
163,18.3,georgia
164,11.4,georgia
165,20.3,georgia
166,7.4,georgia
167,14.9,georgia
168,15.3,georgia
169,20.1,georgia
170,21.0,georgia
171,21.0,georgia
172,26.9,georgia
173,18.8,georgia
174,21.3,georgia
175,15.0,georgia
176,17.9,georgia
177,20.6,georgia
178,19.9,georgia
179,18.0,georgia
180,13.2,georgia
1,4.2,hawaii
2,5.4,hawaii
3,7.3,hawaii
4,9.3,hawaii
5,7.9,hawaii
6,6.6,hawaii
7,5.6,hawaii
8,4.6,hawaii
9,8.4,hawaii
10,7.9,hawaii
11,8.4,hawaii
12,6.3,hawaii
13,6.7,hawaii
14,8.8,hawaii
15,4.5,hawaii
16,7.2,hawaii
17,2.1,hawaii
18,2.8,hawaii
19,3.3,hawaii
20,3.3,hawaii
21,7.6,hawaii
22,7.9,hawaii
23,4.6,hawaii
24,5.3,hawaii
25,5.1,hawaii
26,6.7,hawaii
27,4.8,hawaii
28,5.2,hawaii
29,8.7,hawaii
30,4.7,hawaii
31,3.4,hawaii
32,4.3,hawaii
33,2.8,hawaii
34,3.1,hawaii
35,5.5,hawaii
36,1.8,hawaii
37,3.0,hawaii
38,5.8,hawaii
39,2.9,hawaii
40,4.2,hawaii
41,3.3,hawaii
42,3.3,hawaii
43,6.1,hawaii
44,7.3,hawaii
45,2.5,hawaii
46,5.4,hawaii
47,6.4,hawaii
48,3.0,hawaii
49,2.7,hawaii
50,5.0,hawaii
51,3.6,hawaii
1,22.8,illinois
2,22.6,illinois
3,21.8,illinois
4,16.7,illinois
5,8.4,illinois
6,15.0,illinois
7,10.3,illinois
8,13.8,illinois
9,10.3,illinois
10,14.4,illinois
11,5.9,illinois
12,6.4,illinois
13,14.4,illinois
14,15.7,illinois
15,11.3,illinois
16,13.1,illinois
17,6.2,illinois
18,4.4,illinois
19,13.2,illinois
20,9.3,illinois
21,23.0,illinois
22,15.1,illinois
23,16.9,illinois
24,19.9,illinois
25,12.3,illinois
26,9.0,illinois
27,10.2,illinois
28,11.1,illinois
29,11.2,illinois
30,12.4,illinois
31,12.7,illinois
32,15.5,illinois
33,12.7,illinois
34,10.8,illinois
35,6.2,illinois
36,8.4,illinois
37,3.4,illinois
38,9.0,illinois
39,20.0,illinois
40,22.8,illinois
41,5.1,illinois
42,6.2,illinois
43,17.7,illinois
44,12.6,illinois
45,6.4,illinois
46,11.1,illinois
47,4.2,illinois
48,5.8,illinois
49,8.1,illinois
50,4.5,illinois
51,3.5,illinois
52,6.7,illinois
53,7.1,illinois
54,7.0,illinois
55,10.2,illinois
56,6.6,illinois
57,12.9,illinois
58,3.9,illinois
59,10.7,illinois
60,20.9,illinois
61,6.5,illinois
62,10.8,illinois
63,9.5,illinois
64,6.8,illinois
65,4.9,illinois
66,5.4,illinois
67,12.1,illinois
68,7.3,illinois
69,6.5,illinois
70,7.4,illinois
71,6.6,illinois
72,9.2,illinois
73,5.2,illinois
74,6.4,illinois
75,5.5,illinois
76,8.1,illinois
77,18.1,illinois
78,11.1,illinois
79,8.9,illinois
80,8.2,illinois
81,5.7,illinois
82,4.5,illinois
83,18.8,illinois
84,10.1,illinois
85,11.9,illinois
86,13.4,illinois
87,5.8,illinois
88,5.7,illinois
89,6.3,illinois
90,7.5,illinois
91,6.8,illinois
92,9.7,illinois
93,8.9,illinois
94,6.6,illinois
95,6.9,illinois
96,9.4,illinois
97,4.5,illinois
98,6.6,illinois
99,4.8,illinois
100,7.4,illinois
101,4.5,illinois
102,8.2,illinois
103,8.1,illinois
104,7.7,illinois
105,4.4,illinois
106,6.8,illinois
107,8.3,illinois
108,4.5,illinois
109,7.5,illinois
110,8.6,illinois
111,7.4,illinois
112,6.7,illinois
113,10.5,illinois
114,9.4,illinois
115,8.1,illinois
116,6.5,illinois
117,8.8,illinois
118,8.3,illinois
1,18.7,indiana
2,16.4,indiana
3,14.3,indiana
4,8.4,indiana
5,12.0,indiana
6,15.1,indiana
7,11.8,indiana
8,6.9,indiana
9,10.4,indiana
10,10.1,indiana
11,8.4,indiana
12,7.6,indiana
13,10.5,indiana
14,12.8,indiana
15,6.8,indiana
16,10.1,indiana
17,14.2,indiana
18,9.7,indiana
19,7.9,indiana
20,10.1,indiana
21,14.1,indiana
22,15.6,indiana
23,11.9,indiana
24,3.5,indiana
25,8.6,indiana
26,9.8,indiana
27,13.5,indiana
28,9.1,indiana
29,7.8,indiana
30,13.3,indiana
31,12.3,indiana
32,10.4,indiana
33,12.0,indiana
34,13.0,indiana
35,9.4,indiana
36,13.7,indiana
37,5.2,indiana
38,9.6,indiana
39,5.2,indiana
40,6.2,indiana
41,11.3,indiana
42,11.0,indiana
43,13.9,indiana
44,9.9,indiana
45,11.5,indiana
46,9.7,indiana
47,9.0,indiana
48,15.0,indiana
49,21.6,indiana
50,11.0,indiana
51,27.7,indiana
52,9.3,indiana
53,9.4,indiana
54,12.4,indiana
55,11.4,indiana
56,15.2,indiana
57,10.9,indiana
58,10.6,indiana
59,10.6,indiana
60,10.7,indiana
61,10.2,indiana
62,11.8,indiana
63,14.0,indiana
64,8.5,indiana
65,10.6,indiana
66,10.0,indiana
67,11.4,indiana
68,8.5,indiana
69,11.2,indiana
70,8.4,indiana
71,13.4,indiana
72,9.4,indiana
73,11.6,indiana
74,8.3,indiana
75,8.2,indiana
76,7.2,indiana
77,15.3,indiana
78,8.4,indiana
79,15.6,indiana
80,20.9,indiana
81,14.4,indiana
82,12.4,indiana
83,6.4,indiana
84,8.9,indiana
85,12.2,indiana
86,9.7,indiana
87,9.1,indiana
88,5.4,indiana
89,11.5,indiana
90,6.9,indiana
91,10.2,indiana
92,13.4,indiana
93,9.8,indiana
94,16.5,indiana
95,16.8,indiana
96,15.6,indiana
97,18.4,indiana
98,20.1,indiana
99,19.6,indiana
100,16.7,indiana
1,6.2,iowa
2,5.6,iowa
3,6.3,iowa
4,6.7,iowa
5,5.2,iowa
6,6.4,iowa
7,5.8,iowa
8,6.0,iowa
9,7.4,iowa
10,5.1,iowa
11,10.1,iowa
12,4.9,iowa
13,9.7,iowa
14,12.9,iowa
15,11.5,iowa
16,8.2,iowa
17,6.9,iowa
18,8.5,iowa
19,3.3,iowa
20,8.6,iowa
21,6.8,iowa
22,5.0,iowa
23,7.0,iowa
24,8.9,iowa
25,4.3,iowa
26,4.5,iowa
27,11.5,iowa
28,4.0,iowa
29,6.5,iowa
30,3.6,iowa
31,8.4,iowa
32,13.6,iowa
33,10.0,iowa
34,7.0,iowa
35,11.5,iowa
36,5.5,iowa
37,2.9,iowa
38,4.0,iowa
39,2.8,iowa
40,5.5,iowa
41,5.6,iowa
42,3.5,iowa
43,5.4,iowa
44,2.7,iowa
45,4.9,iowa
46,4.2,iowa
47,6.1,iowa
48,5.5,iowa
49,4.3,iowa
50,4.4,iowa
51,7.5,iowa
52,6.3,iowa
53,7.2,iowa
54,5.7,iowa
55,5.9,iowa
56,7.8,iowa
57,2.0,iowa
58,6.4,iowa
59,4.5,iowa
60,4.4,iowa
61,9.5,iowa
62,9.2,iowa
63,3.4,iowa
64,7.7,iowa
65,6.9,iowa
66,4.9,iowa
67,2.8,iowa
68,5.1,iowa
69,6.9,iowa
70,5.3,iowa
71,9.3,iowa
72,5.7,iowa
73,3.6,iowa
74,4.6,iowa
75,4.3,iowa
76,6.0,iowa
77,6.7,iowa
78,7.8,iowa
79,4.1,iowa
80,7.8,iowa
81,8.2,iowa
82,13.7,iowa
83,7.1,iowa
84,5.7,iowa
85,6.3,iowa
86,10.1,iowa
87,7.3,iowa
88,6.8,iowa
89,7.0,iowa
90,9.6,iowa
91,5.9,iowa
92,5.9,iowa
93,6.1,iowa
94,3.7,iowa
95,3.8,iowa
96,4.1,iowa
97,5.4,iowa
98,5.3,iowa
99,5.2,iowa
100,7.3,iowa
1,14.1,kansas
2,11.4,kansas
3,13.1,kansas
4,8.9,kansas
5,9.9,kansas
6,6.2,kansas
7,11.4,kansas
8,1.7,kansas
9,10.7,kansas
10,10.8,kansas
11,12.5,kansas
12,11.8,kansas
13,13.4,kansas
14,7.9,kansas
15,15.7,kansas
16,5.3,kansas
17,6.3,kansas
18,6.5,kansas
19,4.7,kansas
20,3.9,kansas
21,4.2,kansas
22,11.5,kansas
23,14.3,kansas
24,10.8,kansas
25,4.9,kansas
26,4.9,kansas
27,3.0,kansas
28,3.4,kansas
29,6.2,kansas
30,8.8,kansas
31,22.2,kansas
32,35.9,kansas
33,12.2,kansas
34,30.8,kansas
35,21.4,kansas
36,6.6,kansas
37,18.5,kansas
38,4.9,kansas
39,2.4,kansas
40,6.4,kansas
41,8.6,kansas
42,7.8,kansas
43,7.0,kansas
44,11.3,kansas
45,6.8,kansas
46,12.4,kansas
47,9.1,kansas
48,2.9,kansas
49,8.8,kansas
50,4.2,kansas
51,8.0,kansas
52,3.1,kansas
53,7.9,kansas
54,8.5,kansas
55,13.1,kansas
56,10.8,kansas
57,15.5,kansas
58,16.8,kansas
59,8.0,kansas
60,14.4,kansas
61,6.1,kansas
62,8.1,kansas
63,11.1,kansas
64,5.9,kansas
65,13.3,kansas
66,7.5,kansas
67,5.2,kansas
68,7.8,kansas
69,15.4,kansas
70,6.8,kansas
71,11.4,kansas
72,10.1,kansas
73,5.5,kansas
74,7.0,kansas
75,10.3,kansas
76,11.6,kansas
77,8.6,kansas
78,5.8,kansas
79,9.8,kansas
80,11.9,kansas
81,14.8,kansas
82,4.2,kansas
83,19.7,kansas
84,19.7,kansas
85,6.3,kansas
86,22.2,kansas
87,9.2,kansas
88,14.8,kansas
89,11.1,kansas
90,5.8,kansas
91,10.5,kansas
92,15.5,kansas
93,8.4,kansas
94,5.7,kansas
95,21.3,kansas
96,17.1,kansas
97,10.1,kansas
98,16.5,kansas
99,6.7,kansas
100,5.5,kansas
101,7.1,kansas
102,13.7,kansas
103,26.6,kansas
104,5.5,kansas
105,11.2,kansas
106,7.2,kansas
107,9.0,kansas
108,6.6,kansas
109,8.7,kansas
110,7.1,kansas
111,8.5,kansas
112,14.8,kansas
113,11.7,kansas
114,10.9,kansas
115,15.5,kansas
116,11.2,kansas
117,8.8,kansas
118,7.6,kansas
119,15.9,kansas
120,7.3,kansas
121,8.8,kansas
122,14.9,kansas
123,13.7,kansas
124,16.7,kansas
125,19.1,kansas
1,8.9,kentucky
2,10.3,kentucky
3,10.6,kentucky
4,10.0,kentucky
5,10.7,kentucky
6,7.3,kentucky
7,8.2,kentucky
8,12.2,kentucky
9,11.4,kentucky
10,9.7,kentucky
11,7.9,kentucky
12,10.0,kentucky
13,9.5,kentucky
14,7.5,kentucky
15,10.3,kentucky
16,13.7,kentucky
17,8.3,kentucky
18,10.2,kentucky
19,9.7,kentucky
20,10.5,kentucky
21,13.0,kentucky
22,12.8,kentucky
23,10.4,kentucky
24,9.1,kentucky
25,8.9,kentucky
26,5.8,kentucky
27,10.4,kentucky
28,8.3,kentucky
29,4.8,kentucky
30,10.6,kentucky
31,8.3,kentucky
32,6.8,kentucky
33,6.2,kentucky
34,5.1,kentucky
35,9.5,kentucky
36,3.5,kentucky
37,15.2,kentucky
38,11.2,kentucky
39,10.1,kentucky
40,12.8,kentucky
41,10.6,kentucky
42,11.6,kentucky
43,9.7,kentucky
44,9.1,kentucky
45,4.3,kentucky
46,8.7,kentucky
47,11.2,kentucky
48,4.8,kentucky
49,7.3,kentucky
50,8.3,kentucky
51,12.3,kentucky
52,10.7,kentucky
53,6.5,kentucky
54,11.0,kentucky
55,8.5,kentucky
56,12.0,kentucky
57,10.8,kentucky
58,11.0,kentucky
59,4.1,kentucky
60,5.9,kentucky
61,7.8,kentucky
62,8.6,kentucky
63,7.9,kentucky
64,5.2,kentucky
65,13.8,kentucky
66,5.1,kentucky
67,11.2,kentucky
68,6.3,kentucky
69,10.2,kentucky
70,12.4,kentucky
71,9.1,kentucky
72,12.3,kentucky
73,8.2,kentucky
74,11.0,kentucky
75,8.7,kentucky
76,13.1,kentucky
77,14.4,kentucky
78,11.3,kentucky
79,9.6,kentucky
80,12.5,kentucky
81,9.6,kentucky
82,11.2,kentucky
83,12.7,kentucky
84,10.9,kentucky
85,8.5,kentucky
86,11.7,kentucky
87,11.8,kentucky
88,4.8,kentucky
89,11.8,kentucky
90,10.4,kentucky
91,10.7,kentucky
92,10.1,kentucky
93,10.1,kentucky
94,9.6,kentucky
95,12.4,kentucky
96,12.0,kentucky
97,9.8,kentucky
98,9.8,kentucky
99,11.6,kentucky
100,9.8,kentucky
1,8.4,maine
2,8.0,maine
3,9.2,maine
4,5.8,maine
5,6.3,maine
6,5.1,maine
7,7.9,maine
8,5.7,maine
9,3.5,maine
10,11.0,maine
11,6.8,maine
12,14.7,maine
13,8.4,maine
14,13.0,maine
15,8.2,maine
16,7.4,maine
