district,percent of tot. population in poverty,state
143,5.0,connecticut
144,3.4,connecticut
145,18.9,connecticut
146,11.6,connecticut
147,2.4,connecticut
148,8.5,connecticut
149,6.0,connecticut
150,7.6,connecticut
151,4.1,connecticut
1,19.7,delaware
2,35.2,delaware
3,28.2,delaware
4,9.7,delaware
5,10.8,delaware
6,7.8,delaware
7,5.9,delaware
8,4.2,delaware
9,2.8,delaware
10,5.2,delaware
11,10.4,delaware
12,3.6,delaware
13,14.9,delaware
14,8.0,delaware
15,5.6,delaware
16,19.7,delaware
17,9.4,delaware
18,7.8,delaware
19,16.9,delaware
20,6.9,delaware
21,6.3,delaware
22,1.7,delaware
23,17.1,delaware
24,11.3,delaware
25,21.0,delaware
26,11.4,delaware
27,5.2,delaware
28,11.4,delaware
29,9.4,delaware
30,13.6,delaware
31,16.8,delaware
32,18.9,delaware
33,11.8,delaware
34,11.2,delaware
35,17.0,delaware
36,14.5,delaware
37,14.1,delaware
38,9.1,delaware
39,16.1,delaware
40,15.4,delaware
41,15.5,delaware
1,12.2,florida
2,16.3,florida
3,12.7,florida
4,12.2,florida
5,20.9,florida
6,15.0,florida
7,17.1,florida
8,35.2,florida
9,8.8,florida
10,20.6,florida
11,10.8,florida
12,12.4,florida
13,27.8,florida
14,21.4,florida
15,16.6,florida
16,9.5,florida
17,7.9,florida
18,8.9,florida
19,22.8,florida
20,32.8,florida
21,17.4,florida
22,17.9,florida
23,18.5,florida
24,14.0,florida
25,13.0,florida
26,23.3,florida
27,14.4,florida
28,12.3,florida
29,11.3,florida
30,13.9,florida
31,14.1,florida
32,12.5,florida
33,10.5,florida
34,17.2,florida
35,15.9,florida
36,19.9,florida
37,9.3,florida
38,11.7,florida
39,15.1,florida
40,17.6,florida
41,20.4,florida
42,17.3,florida
43,22.4,florida
44,9.0,florida
45,19.6,florida
46,27.5,florida
47,14.1,florida
48,20.4,florida
49,21.1,florida
50,12.2,florida
51,14.5,florida
52,10.2,florida
53,16.6,florida
54,14.4,florida
55,20.8,florida
56,20.2,florida
57,9.9,florida
58,19.1,florida
59,12.2,florida
60,11.0,florida
61,33.8,florida
62,20.0,florida
63,16.2,florida
64,7.0,florida
65,9.0,florida
66,14.5,florida
67,15.5,florida
68,15.0,florida
69,13.1,florida
70,27.0,florida
71,15.3,florida
72,10.4,florida
73,7.1,florida
74,10.4,florida
75,12.4,florida
76,11.6,florida
77,12.9,florida
78,18.1,florida
79,19.3,florida
80,17.8,florida
81,13.8,florida
82,10.1,florida
83,13.4,florida
84,20.8,florida
85,7.8,florida
86,11.2,florida
87,26.1,florida
88,23.5,florida
89,11.2,florida
90,10.1,florida
91,9.0,florida
92,21.0,florida
93,12.4,florida
94,24.8,florida
95,19.9,florida
96,8.8,florida
97,10.9,florida
98,9.9,florida
99,14.6,florida
100,14.5,florida
101,17.3,florida
102,18.3,florida
103,13.1,florida
104,7.6,florida
105,15.2,florida
106,9.7,florida
107,19.8,florida
108,29.9,florida
109,33.6,florida
110,22.3,florida
111,28.9,florida
112,17.4,florida
113,22.6,florida
114,12.8,florida
115,10.6,florida
116,12.9,florida
117,30.3,florida
118,12.7,florida
119,11.7,florida
120,17.0,florida
1,19.9,georgia
2,13.3,georgia
3,12.7,georgia
4,22.1,georgia
5,20.8,georgia
6,17.9,georgia
7,18.4,georgia
8,16.5,georgia
9,17.6,georgia
10,19.7,georgia
11,14.1,georgia
12,20.2,georgia
13,22.6,georgia
14,13.1,georgia
15,16.0,georgia
16,19.1,georgia
17,12.0,georgia
18,21.6,georgia
19,9.6,georgia
20,9.5,georgia
21,10.5,georgia
22,8.4,georgia
23,12.5,georgia
24,6.5,georgia
25,4.0,georgia
26,7.8,georgia
27,15.0,georgia
28,16.9,georgia
29,27.4,georgia
30,14.8,georgia
31,12.9,georgia
32,22.3,georgia
33,18.5,georgia
34,7.8,georgia
35,8.4,georgia
36,4.1,georgia
37,12.0,georgia
38,14.0,georgia
39,18.7,georgia
40,6.4,georgia
41,25.0,georgia
42,27.0,georgia
43,9.2,georgia
44,8.0,georgia
45,3.5,georgia
46,4.6,georgia
47,5.2,georgia
48,12.8,georgia
49,6.1,georgia
50,5.8,georgia
51,9.5,georgia
52,9.8,georgia
53,24.7,georgia
54,7.2,georgia
55,19.6,georgia
56,30.8,georgia
57,25.0,georgia
58,30.2,georgia
59,27.4,georgia
60,35.9,georgia
61,20.0,georgia
62,16.0,georgia
63,15.1,georgia
64,16.4,georgia
65,13.4,georgia
66,14.8,georgia
67,11.7,georgia
68,16.6,georgia
69,16.1,georgia
70,14.2,georgia
71,5.4,georgia
72,6.8,georgia
73,17.0,georgia
74,24.6,georgia
75,25.1,georgia
76,12.7,georgia
77,31.1,georgia
78,20.2,georgia
79,9.5,georgia
80,12.9,georgia
81,19.4,georgia
82,20.4,georgia
83,18.7,georgia
84,18.9,georgia
85,30.5,georgia
86,24.8,georgia
87,19.4,georgia
88,22.9,georgia
89,16.5,georgia
90,12.5,georgia
91,14.5,georgia
92,26.1,georgia
93,12.5,georgia
94,14.7,georgia
95,10.5,georgia
96,17.8,georgia
97,7.7,georgia
98,8.7,georgia
99,28.2,georgia
100,19.1,georgia
101,13.8,georgia
102,7.5,georgia
103,10.0,georgia
104,7.9,georgia
105,12.1,georgia
106,9.0,georgia
107,12.3,georgia
108,13.6,georgia
109,10.1,georgia
110,14.6,georgia
111,9.8,georgia
112,15.8,georgia
113,18.5,georgia
114,10.9,georgia
115,14.7,georgia
116,16.1,georgia
117,21.2,georgia
118,36.4,georgia
119,24.9,georgia
120,21.5,georgia
121,17.4,georgia
122,5.4,georgia
123,13.3,georgia
124,29.2,georgia
125,31.8,georgia
126,23.9,georgia
127,22.7,georgia
128,25.8,georgia
129,16.5,georgia
130,21.2,georgia
131,19.1,georgia
132,27.8,georgia
133,12.2,georgia
134,10.5,georgia
135,35.0,georgia
136,21.4,georgia
137,17.8,georgia
138,28.2,georgia
139,29.0,georgia
140,21.6,georgia
141,13.2,georgia
142,33.0,georgia
143,35.2,georgia
144,18.8,georgia
145,28.3,georgia
146,14.2,georgia
147,21.0,georgia
148,24.9,georgia
149,23.6,georgia
150,27.5,georgia
151,30.1,georgia
152,15.4,georgia
153,31.3,georgia
154,28.2,georgia
155,25.3,georgia
156,24.6,georgia
157,25.7,georgia
158,30.0,georgia
159,20.0,georgia
160,30.1,georgia
161,8.2,georgia
162,23.9,georgia
163,30.5,georgia
164,11.9,georgia
165,21.8,georgia
166,5.7,georgia
167,16.6,georgia
168,17.0,georgia
169,24.4,georgia
170,27.7,georgia
171,27.2,georgia
172,27.5,georgia
173,26.7,georgia
174,24.2,georgia
175,16.9,georgia
176,22.5,georgia
177,36.0,georgia
178,19.1,georgia
179,20.6,georgia
180,15.6,georgia
1,15.2,hawaii
2,20.8,hawaii
3,19.7,hawaii
4,30.5,hawaii
5,20.1,hawaii
6,12.8,hawaii
7,12.3,hawaii
8,9.8,hawaii
9,9.3,hawaii
10,6.7,hawaii
11,9.6,hawaii
12,11.6,hawaii
13,12.0,hawaii
14,12.9,hawaii
15,7.4,hawaii
16,9.1,hawaii
17,3.4,hawaii
18,4.2,hawaii
19,6.1,hawaii
20,7.3,hawaii
21,13.7,hawaii
22,13.5,hawaii
23,8.4,hawaii
24,11.2,hawaii
25,10.4,hawaii
26,15.3,hawaii
27,11.9,hawaii
28,13.6,hawaii
29,23.1,hawaii
30,13.7,hawaii
31,8.7,hawaii
32,8.8,hawaii
33,4.7,hawaii
34,4.8,hawaii
35,11.0,hawaii
36,3.6,hawaii
37,3.7,hawaii
38,11.4,hawaii
39,3.5,hawaii
40,6.6,hawaii
41,4.3,hawaii
42,5.2,hawaii
43,19.1,hawaii
44,25.6,hawaii
45,9.4,hawaii
46,12.1,hawaii
47,10.0,hawaii
48,7.5,hawaii
49,5.1,hawaii
50,5.3,hawaii
51,8.4,hawaii
1,21.6,illinois
2,26.1,illinois
3,18.9,illinois
4,21.2,illinois
5,28.5,illinois
6,31.2,illinois
7,12.1,illinois
8,23.0,illinois
9,32.6,illinois
10,27.0,illinois
11,8.3,illinois
12,10.5,illinois
13,19.4,illinois
14,22.3,illinois
15,9.3,illinois
16,17.2,illinois
17,5.7,illinois
18,9.5,illinois
19,10.6,illinois
20,8.7,illinois
21,23.2,illinois
22,13.7,illinois
23,16.7,illinois
24,21.3,illinois
25,26.7,illinois
26,24.8,illinois
27,16.5,illinois
28,20.6,illinois
29,19.4,illinois
30,23.9,illinois
31,21.6,illinois
32,24.9,illinois
33,20.9,illinois
34,18.7,illinois
35,7.3,illinois
36,9.2,illinois
37,3.2,illinois
38,13.0,illinois
39,16.9,illinois
40,16.3,illinois
41,4.8,illinois
42,6.0,illinois
43,18.3,illinois
44,7.3,illinois
45,5.4,illinois
46,11.0,illinois
47,4.7,illinois
48,6.5,illinois
49,6.3,illinois
50,5.1,illinois
51,3.2,illinois
52,6.9,illinois
53,4.6,illinois
54,6.0,illinois
55,8.4,illinois
56,5.9,illinois
57,10.4,illinois
58,5.7,illinois
59,7.9,illinois
60,20.4,illinois
61,8.5,illinois
62,8.2,illinois
63,11.9,illinois
64,7.1,illinois
65,5.9,illinois
66,4.4,illinois
67,29.0,illinois
68,9.9,illinois
69,8.4,illinois
70,16.4,illinois
71,11.0,illinois
72,17.0,illinois
73,7.9,illinois
74,12.6,illinois
75,8.9,illinois
76,14.6,illinois
77,14.9,illinois
78,12.7,illinois
79,15.9,illinois
80,14.7,illinois
81,6.2,illinois
82,4.9,illinois
83,18.2,illinois
84,8.9,illinois
85,9.6,illinois
86,17.0,illinois
87,12.8,illinois
88,10.6,illinois
89,11.5,illinois
90,11.0,illinois
91,11.6,illinois
92,24.1,illinois
93,19.6,illinois
94,13.0,illinois
95,13.3,illinois
96,28.9,illinois
97,4.1,illinois
98,7.4,illinois
99,9.0,illinois
100,13.4,illinois
101,8.0,illinois
102,11.4,illinois
103,33.4,illinois
104,17.6,illinois
105,13.4,illinois
106,13.4,illinois
107,15.7,illinois
108,7.4,illinois
109,13.0,illinois
110,18.4,illinois
111,16.3,illinois
112,10.7,illinois
113,17.6,illinois
114,22.8,illinois
115,18.8,illinois
116,11.6,illinois
117,16.4,illinois
118,23.1,illinois
1,24.4,indiana
2,30.5,indiana
3,30.5,indiana
4,10.5,indiana
5,14.1,indiana
6,28.6,indiana
7,15.9,indiana
8,13.0,indiana
9,18.0,indiana
10,13.3,indiana
11,7.7,indiana
12,10.1,indiana
13,11.6,indiana
14,23.4,indiana
15,3.8,indiana
16,10.3,indiana
17,12.3,indiana
18,11.8,indiana
19,7.2,indiana
20,14.1,indiana
21,15.6,indiana
22,10.0,indiana
23,16.4,indiana
24,4.1,indiana
25,9.1,indiana
26,25.7,indiana
27,27.4,indiana
28,5.6,indiana
29,7.3,indiana
30,19.9,indiana
31,17.2,indiana
32,8.4,indiana
33,15.8,indiana
34,32.6,indiana
35,12.5,indiana
36,21.7,indiana
37,4.0,indiana
38,12.2,indiana
39,4.6,indiana
40,4.1,indiana
41,10.8,indiana
42,14.4,indiana
43,27.2,indiana
44,10.8,indiana
45,15.3,indiana
46,11.7,indiana
47,8.4,indiana
48,16.3,indiana
49,12.7,indiana
50,14.9,indiana
51,11.8,indiana
52,9.9,indiana
53,8.8,indiana
54,16.1,indiana
55,15.0,indiana
56,20.5,indiana
57,10.7,indiana
58,10.6,indiana
59,13.1,indiana
60,17.0,indiana
61,41.9,indiana
62,12.9,indiana
63,9.8,indiana
64,8.7,indiana
65,12.2,indiana
66,13.3,indiana
67,12.8,indiana
68,8.9,indiana
69,15.6,indiana
70,9.6,indiana
71,11.2,indiana
72,13.5,indiana
73,14.0,indiana
74,14.2,indiana
75,10.9,indiana
76,13.6,indiana
77,26.6,indiana
78,10.2,indiana
79,15.0,indiana
80,33.9,indiana
81,16.3,indiana
82,10.0,indiana
83,6.5,indiana
84,8.0,indiana
85,12.0,indiana
86,10.3,indiana
87,10.4,indiana
88,3.7,indiana
89,17.0,indiana
90,7.4,indiana
91,15.3,indiana
92,18.5,indiana
93,11.2,indiana
94,19.7,indiana
95,24.0,indiana
96,28.2,indiana
97,31.7,indiana
98,32.1,indiana
99,32.6,indiana
100,30.8,indiana
1,6.8,iowa
2,10.7,iowa
3,9.6,iowa
4,7.9,iowa
5,8.2,iowa
6,10.6,iowa
7,11.0,iowa
8,11.1,iowa
9,15.9,iowa
10,13.5,iowa
11,12.2,iowa
12,11.2,iowa
13,16.5,iowa
14,17.3,iowa
15,17.5,iowa
16,13.5,iowa
17,12.7,iowa
18,15.0,iowa
19,4.5,iowa
20,10.9,iowa
21,13.0,iowa
22,5.1,iowa
23,11.1,iowa
24,13.3,iowa
25,5.0,iowa
26,9.7,iowa
27,16.0,iowa
28,9.7,iowa
29,9.9,iowa
30,6.3,iowa
31,11.7,iowa
32,20.5,iowa
33,19.8,iowa
34,19.5,iowa
35,28.8,iowa
36,10.6,iowa
37,6.4,iowa
38,10.5,iowa
39,3.9,iowa
40,8.0,iowa
41,17.0,iowa
42,7.6,iowa
43,7.2,iowa
44,4.9,iowa
45,28.2,iowa
46,30.6,iowa
47,11.2,iowa
48,9.6,iowa
49,9.3,iowa
50,7.2,iowa
51,9.9,iowa
52,11.5,iowa
53,13.1,iowa
54,12.7,iowa
55,10.7,iowa
56,10.2,iowa
57,6.1,iowa
58,11.9,iowa
59,16.9,iowa
60,12.2,iowa
61,14.2,iowa
62,21.4,iowa
63,6.8,iowa
64,10.6,iowa
65,12.7,iowa
66,8.9,iowa
67,4.8,iowa
68,8.0,iowa
69,15.6,iowa
70,9.7,iowa
71,12.6,iowa
72,10.1,iowa
73,6.3,iowa
74,14.6,iowa
75,9.6,iowa
76,9.6,iowa
77,6.0,iowa
78,10.2,iowa
79,12.5,iowa
80,12.9,iowa
81,19.0,iowa
82,16.0,iowa
83,18.1,iowa
84,12.5,iowa
85,29.1,iowa
86,28.6,iowa
87,20.4,iowa
88,8.9,iowa
89,14.5,iowa
90,23.2,iowa
91,12.6,iowa
92,11.0,iowa
93,11.7,iowa
94,5.3,iowa
95,5.7,iowa
96,11.0,iowa
97,8.1,iowa
98,15.0,iowa
99,12.2,iowa
100,20.4,iowa
1,16.9,kansas
2,14.6,kansas
3,27.1,kansas
4,17.0,kansas
5,14.4,kansas
6,7.4,kansas
7,16.7,kansas
8,1.7,kansas
9,19.2,kansas
10,17.2,kansas
11,20.2,kansas
12,15.0,kansas
13,16.5,kansas
14,4.8,kansas
15,12.2,kansas
16,5.7,kansas
17,5.8,kansas
18,8.9,kansas
19,4.0,kansas
20,2.8,kansas
21,5.7,kansas
22,9.9,kansas
23,12.9,kansas
24,10.6,kansas
25,4.5,kansas
26,4.6,kansas
27,2.5,kansas
28,4.2,kansas
29,5.4,kansas
30,6.9,kansas
31,28.2,kansas
32,32.7,kansas
33,11.5,kansas
34,32.5,kansas
35,28.4,kansas
36,6.5,kansas
37,19.4,kansas
38,7.5,kansas
39,2.0,kansas
40,11.9,kansas
41,14.7,kansas
42,8.0,kansas
43,4.6,kansas
44,23.5,kansas
45,7.4,kansas
46,32.4,kansas
47,8.9,kansas
48,6.3,kansas
49,7.9,kansas
50,4.7,kansas
51,7.3,kansas
52,3.6,kansas
53,10.5,kansas
54,9.9,kansas
55,21.1,kansas
56,13.2,kansas
57,25.3,kansas
58,29.2,kansas
59,13.2,kansas
60,22.6,kansas
61,9.3,kansas
62,12.9,kansas
63,17.1,kansas
64,13.2,kansas
65,15.7,kansas
66,34.9,kansas
67,10.5,kansas
68,8.9,kansas
69,19.5,kansas
70,11.1,kansas
71,13.5,kansas
72,14.4,kansas
73,6.9,kansas
74,8.6,kansas
75,15.5,kansas
76,14.5,kansas
77,7.9,kansas
78,3.3,kansas
79,11.3,kansas
80,20.2,kansas
81,18.2,kansas
82,7.4,kansas
83,23.2,kansas
84,31.2,kansas
85,7.4,kansas
86,29.9,kansas
87,13.3,kansas
88,13.2,kansas
89,21.4,kansas
90,7.0,kansas
91,8.7,kansas
92,13.7,kansas
93,6.2,kansas
94,3.1,kansas
95,23.7,kansas
96,20.8,kansas
97,12.1,kansas
98,18.6,kansas
99,4.3,kansas
100,8.7,kansas
101,5.4,kansas
102,24.6,kansas
103,31.8,kansas
104,6.7,kansas
105,13.7,kansas
106,10.4,kansas
107,11.2,kansas
108,7.9,kansas
109,12.7,kansas
110,9.6,kansas
111,15.8,kansas
112,17.2,kansas
113,14.0,kansas
114,11.1,kansas
115,13.3,kansas
116,12.5,kansas
117,9.0,kansas
118,7.2,kansas
119,18.9,kansas
120,11.9,kansas
121,5.0,kansas
122,15.8,kansas
123,14.2,kansas
124,12.7,kansas
125,19.2,kansas
1,16.2,kentucky
2,17.5,kentucky
3,21.6,kentucky
4,17.7,kentucky
5,22.4,kentucky
6,11.0,kentucky
7,16.8,kentucky
8,23.4,kentucky
9,16.9,kentucky
10,15.6,kentucky
11,19.0,kentucky
12,16.9,kentucky
13,22.0,kentucky
14,16.4,kentucky
15,19.2,kentucky
16,17.4,kentucky
17,13.5,kentucky
18,18.9,kentucky
19,22.7,kentucky
20,26.7,kentucky
21,23.3,kentucky
22,16.9,kentucky
23,21.2,kentucky
24,18.4,kentucky
25,16.1,kentucky
26,9.6,kentucky
27,17.0,kentucky
28,11.7,kentucky
29,4.9,kentucky
30,19.3,kentucky
31,10.4,kentucky
32,6.4,kentucky
33,6.1,kentucky
34,8.7,kentucky
35,15.6,kentucky
36,5.5,kentucky
37,18.6,kentucky
38,21.2,kentucky
39,19.8,kentucky
40,28.7,kentucky
41,32.3,kentucky
42,31.4,kentucky
43,31.7,kentucky
44,13.5,kentucky
45,5.8,kentucky
46,16.9,kentucky
47,18.8,kentucky
48,6.1,kentucky
49,10.7,kentucky
50,13.9,kentucky
51,24.4,kentucky
52,30.2,kentucky
53,10.5,kentucky
54,20.0,kentucky
55,16.7,kentucky
56,16.6,kentucky
57,15.2,kentucky
58,12.9,kentucky
59,7.0,kentucky
60,8.8,kentucky
61,13.3,kentucky
62,13.1,kentucky
63,8.3,kentucky
64,7.5,kentucky
65,27.0,kentucky
66,4.5,kentucky
67,23.6,kentucky
68,8.0,kentucky
69,13.8,kentucky
70,21.3,kentucky
71,19.2,kentucky
72,19.7,kentucky
73,15.5,kentucky
74,25.2,kentucky
75,38.6,kentucky
76,16.6,kentucky
77,27.6,kentucky
78,16.9,kentucky
79,22.6,kentucky
80,27.5,kentucky
81,27.0,kentucky
82,26.3,kentucky
83,23.3,kentucky
84,29.2,kentucky
85,22.7,kentucky
86,31.0,kentucky
87,35.3,kentucky
88,5.3,kentucky
89,24.4,kentucky
90,34.1,kentucky
91,32.6,kentucky
92,29.5,kentucky
93,27.1,kentucky
94,27.1,kentucky
95,30.5,kentucky
96,20.0,kentucky
97,28.3,kentucky
98,17.5,kentucky
99,27.9,kentucky
100,19.2,kentucky
1,2.6,maine
2,5.9,maine
3,6.3,maine
4,4.6,maine
5,4.7,maine
6,6.5,maine
7,4.2,maine
8,4.5,maine
9,5.6,maine
10,6.9,maine
11,11.4,maine
12,26.0,maine
13,11.7,maine
14,9.0,maine
15,6.0,maine
