district,average family size,state
4,3.41,georgia
5,3.22,georgia
6,3.33,georgia
7,2.85,georgia
8,2.76,georgia
9,3.16,georgia
10,3.23,georgia
11,3.12,georgia
12,3.14,georgia
13,3.13,georgia
14,3.18,georgia
15,3.24,georgia
16,3.22,georgia
17,3.28,georgia
18,3.06,georgia
19,3.4,georgia
20,3.05,georgia
21,3.36,georgia
22,3.24,georgia
23,3.19,georgia
24,3.2,georgia
25,3.38,georgia
26,3.3,georgia
27,3.3,georgia
28,3.22,georgia
29,3.68,georgia
30,3.6,georgia
31,3.22,georgia
32,3.11,georgia
33,3.05,georgia
34,3.16,georgia
35,3.42,georgia
36,3.36,georgia
37,3.17,georgia
38,3.23,georgia
39,3.39,georgia
40,2.9,georgia
41,3.43,georgia
42,3.12,georgia
43,2.9,georgia
44,3.06,georgia
45,3.13,georgia
46,3.22,georgia
47,3.28,georgia
48,3.21,georgia
49,3.16,georgia
50,3.38,georgia
51,3.05,georgia
52,3.0,georgia
53,3.44,georgia
54,2.88,georgia
55,3.19,georgia
56,3.1,georgia
57,3.09,georgia
58,3.05,georgia
59,3.27,georgia
60,3.61,georgia
61,3.42,georgia
62,3.48,georgia
63,3.29,georgia
64,3.39,georgia
65,3.64,georgia
66,3.45,georgia
67,3.37,georgia
68,3.28,georgia
69,3.16,georgia
70,3.23,georgia
71,3.1,georgia
72,3.17,georgia
73,3.36,georgia
74,3.63,georgia
75,3.66,georgia
76,3.49,georgia
77,3.62,georgia
78,3.37,georgia
79,3.19,georgia
80,2.98,georgia
81,3.5,georgia
82,3.17,georgia
83,3.3,georgia
84,3.3,georgia
85,3.68,georgia
86,3.76,georgia
87,3.81,georgia
88,3.39,georgia
89,3.2,georgia
90,3.48,georgia
91,3.42,georgia
92,3.52,georgia
93,3.5,georgia
94,3.69,georgia
95,3.23,georgia
96,3.58,georgia
97,3.39,georgia
98,3.52,georgia
99,3.82,georgia
100,4.07,georgia
101,3.66,georgia
102,3.52,georgia
103,3.58,georgia
104,3.64,georgia
105,3.52,georgia
106,3.53,georgia
107,3.6,georgia
108,3.65,georgia
109,3.37,georgia
110,3.31,georgia
111,3.41,georgia
112,3.17,georgia
113,3.44,georgia
114,3.43,georgia
115,3.32,georgia
116,3.42,georgia
117,3.04,georgia
118,3.04,georgia
119,3.04,georgia
120,3.02,georgia
121,3.6,georgia
122,3.64,georgia
123,3.42,georgia
124,3.34,georgia
125,3.72,georgia
126,3.52,georgia
127,3.59,georgia
128,2.96,georgia
129,3.08,georgia
130,3.13,georgia
131,3.46,georgia
132,3.36,georgia
133,3.14,georgia
134,3.13,georgia
135,3.49,georgia
136,3.41,georgia
137,3.19,georgia
138,3.06,georgia
139,2.97,georgia
140,3.05,georgia
141,3.16,georgia
142,3.46,georgia
143,3.48,georgia
144,3.23,georgia
145,3.0,georgia
146,3.2,georgia
147,3.2,georgia
148,3.14,georgia
149,3.5,georgia
150,3.31,georgia
151,3.09,georgia
152,3.01,georgia
153,3.25,georgia
154,3.09,georgia
155,3.03,georgia
156,3.3,georgia
157,2.97,georgia
158,3.13,georgia
159,3.3,georgia
160,3.08,georgia
161,3.25,georgia
162,3.27,georgia
163,3.3,georgia
164,3.21,georgia
165,3.32,georgia
166,2.97,georgia
167,3.11,georgia
168,2.93,georgia
169,3.34,georgia
170,3.26,georgia
171,3.15,georgia
172,3.46,georgia
173,3.05,georgia
174,3.29,georgia
175,3.04,georgia
176,3.28,georgia
177,3.37,georgia
178,3.37,georgia
179,2.93,georgia
180,3.07,georgia
1,3.27,hawaii
2,3.27,hawaii
3,3.47,hawaii
4,3.1,hawaii
5,3.4,hawaii
9,3.64,hawaii
10,3.4,hawaii
11,3.13,hawaii
13,3.09,hawaii
14,3.27,hawaii
15,3.78,hawaii
16,3.56,hawaii
17,3.16,hawaii
18,3.18,hawaii
19,3.29,hawaii
20,3.51,hawaii
22,2.6,hawaii
24,2.85,hawaii
30,4.07,hawaii
33,3.32,hawaii
34,3.73,hawaii
35,3.71,hawaii
36,3.5,hawaii
37,3.27,hawaii
39,3.94,hawaii
40,4.27,hawaii
41,3.77,hawaii
43,4.25,hawaii
44,4.42,hawaii
45,3.34,hawaii
47,3.97,hawaii
49,3.59,hawaii
50,3.25,hawaii
51,3.92,hawaii
1,3.93,illinois
2,3.51,illinois
3,3.76,illinois
4,3.33,illinois
5,2.8,illinois
6,3.24,illinois
7,3.37,illinois
8,3.55,illinois
9,3.13,illinois
10,3.37,illinois
11,3.09,illinois
12,2.62,illinois
13,3.06,illinois
14,3.04,illinois
15,3.25,illinois
16,3.57,illinois
17,3.23,illinois
18,3.18,illinois
19,3.3,illinois
20,3.1,illinois
21,3.71,illinois
22,3.94,illinois
23,3.65,illinois
24,3.76,illinois
25,3.3,illinois
26,2.91,illinois
27,3.42,illinois
28,3.54,illinois
29,3.31,illinois
30,3.49,illinois
31,3.44,illinois
32,3.69,illinois
33,3.37,illinois
34,3.35,illinois
35,3.23,illinois
36,3.26,illinois
37,3.28,illinois
38,3.39,illinois
39,3.57,illinois
40,3.34,illinois
41,3.25,illinois
42,3.17,illinois
43,3.8,illinois
44,3.45,illinois
45,3.17,illinois
46,3.34,illinois
47,3.23,illinois
48,3.21,illinois
49,3.38,illinois
50,3.35,illinois
51,3.16,illinois
52,3.16,illinois
53,3.08,illinois
54,3.08,illinois
55,3.18,illinois
56,3.16,illinois
57,3.2,illinois
58,3.07,illinois
59,3.22,illinois
60,3.54,illinois
61,3.28,illinois
62,3.4,illinois
63,3.06,illinois
64,3.11,illinois
65,3.1,illinois
66,3.28,illinois
67,3.1,illinois
68,2.88,illinois
69,3.12,illinois
70,3.23,illinois
71,2.86,illinois
72,2.96,illinois
73,3.03,illinois
74,2.88,illinois
75,3.15,illinois
76,2.86,illinois
77,3.66,illinois
78,3.34,illinois
79,3.21,illinois
80,3.46,illinois
81,3.04,illinois
82,3.14,illinois
83,3.63,illinois
84,3.52,illinois
85,3.49,illinois
86,3.5,illinois
87,2.86,illinois
88,3.01,illinois
89,2.76,illinois
90,2.99,illinois
91,2.89,illinois
92,3.18,illinois
93,2.99,illinois
94,2.91,illinois
95,2.85,illinois
96,3.03,illinois
97,3.54,illinois
98,3.44,illinois
99,2.92,illinois
100,2.98,illinois
101,2.99,illinois
102,2.94,illinois
103,3.01,illinois
104,3.01,illinois
105,3.13,illinois
106,2.9,illinois
107,2.9,illinois
108,2.97,illinois
109,2.85,illinois
110,2.77,illinois
111,2.92,illinois
112,2.96,illinois
113,3.01,illinois
114,3.21,illinois
115,2.9,illinois
116,2.95,illinois
117,2.92,illinois
118,2.93,illinois
1,3.37,indiana
2,3.32,indiana
3,3.18,indiana
4,3.07,indiana
5,3.12,indiana
6,3.35,indiana
7,3.21,indiana
8,2.93,indiana
9,2.92,indiana
10,3.11,indiana
11,3.2,indiana
12,3.1,indiana
13,3.02,indiana
14,3.17,indiana
15,2.88,indiana
16,3.08,indiana
17,3.16,indiana
18,2.78,indiana
19,3.16,indiana
20,3.01,indiana
21,3.38,indiana
22,3.05,indiana
23,3.08,indiana
24,3.17,indiana
25,2.99,indiana
26,3.12,indiana
27,2.96,indiana
28,3.2,indiana
29,3.23,indiana
30,2.91,indiana
31,2.78,indiana
32,2.82,indiana
33,2.9,indiana
34,2.83,indiana
35,2.88,indiana
36,2.94,indiana
37,3.16,indiana
38,3.04,indiana
39,3.02,indiana
40,3.11,indiana
41,2.91,indiana
42,2.84,indiana
43,2.95,indiana
44,2.83,indiana
45,2.83,indiana
46,2.9,indiana
47,3.11,indiana
48,3.19,indiana
49,3.54,indiana
50,2.87,indiana
51,3.21,indiana
52,3.09,indiana
53,2.97,indiana
54,2.95,indiana
55,2.94,indiana
56,2.81,indiana
57,3.12,indiana
58,3.13,indiana
59,3.15,indiana
60,2.99,indiana
61,2.71,indiana
62,2.97,indiana
63,3.28,indiana
64,2.92,indiana
65,2.81,indiana
66,3.06,indiana
67,2.92,indiana
68,3.01,indiana
69,3.0,indiana
70,3.35,indiana
71,3.12,indiana
72,3.2,indiana
73,3.06,indiana
74,3.0,indiana
75,2.96,indiana
76,2.91,indiana
77,2.95,indiana
78,2.83,indiana
79,3.23,indiana
80,3.5,indiana
81,3.01,indiana
82,3.13,indiana
83,2.93,indiana
84,3.11,indiana
85,3.25,indiana
86,3.06,indiana
87,3.0,indiana
88,3.05,indiana
89,3.24,indiana
90,3.29,indiana
91,3.36,indiana
92,3.51,indiana
93,3.22,indiana
94,3.75,indiana
95,3.48,indiana
96,3.38,indiana
97,3.42,indiana
98,3.47,indiana
99,3.72,indiana
100,3.34,indiana
1,2.73,iowa
2,2.87,iowa
3,2.76,iowa
4,3.17,iowa
5,2.84,iowa
6,2.97,iowa
7,2.73,iowa
8,2.76,iowa
9,2.79,iowa
10,2.74,iowa
11,3.06,iowa
12,2.85,iowa
13,3.25,iowa
14,3.18,iowa
15,3.16,iowa
16,3.0,iowa
17,2.76,iowa
18,2.85,iowa
19,3.18,iowa
20,2.84,iowa
21,2.83,iowa
22,3.05,iowa
23,3.01,iowa
24,2.91,iowa
25,2.93,iowa
26,3.05,iowa
27,2.85,iowa
28,2.82,iowa
29,2.89,iowa
30,3.14,iowa
31,3.09,iowa
32,3.57,iowa
33,3.36,iowa
34,3.12,iowa
35,3.8,iowa
36,2.98,iowa
37,3.18,iowa
38,3.13,iowa
39,3.13,iowa
40,3.01,iowa
41,2.92,iowa
42,2.94,iowa
43,3.01,iowa
44,3.15,iowa
45,2.85,iowa
46,2.8,iowa
47,2.89,iowa
48,2.95,iowa
49,2.89,iowa
50,2.85,iowa
51,2.86,iowa
52,2.91,iowa
53,2.71,iowa
54,2.79,iowa
55,2.78,iowa
56,2.84,iowa
57,3.05,iowa
58,2.87,iowa
59,2.87,iowa
60,3.01,iowa
61,3.01,iowa
62,3.04,iowa
63,2.87,iowa
64,3.04,iowa
65,3.02,iowa
66,2.98,iowa
67,3.05,iowa
68,3.07,iowa
69,3.03,iowa
70,2.95,iowa
71,3.2,iowa
72,3.04,iowa
73,2.93,iowa
74,2.98,iowa
75,2.88,iowa
76,2.8,iowa
77,3.16,iowa
78,2.89,iowa
79,2.88,iowa
80,2.99,iowa
81,2.93,iowa
82,3.23,iowa
83,2.76,iowa
84,2.9,iowa
85,2.83,iowa
86,2.83,iowa
87,2.81,iowa
88,3.08,iowa
89,3.18,iowa
90,3.25,iowa
91,3.02,iowa
92,3.15,iowa
93,3.13,iowa
94,3.12,iowa
95,2.98,iowa
96,2.96,iowa
97,2.99,iowa
98,2.89,iowa
99,2.92,iowa
100,2.88,iowa
1,3.21,kansas
2,2.98,kansas
3,2.93,kansas
4,2.73,kansas
5,2.92,kansas
6,2.92,kansas
7,2.92,kansas
8,3.13,kansas
9,2.93,kansas
10,2.83,kansas
11,2.87,kansas
12,2.84,kansas
13,2.77,kansas
14,3.12,kansas
15,3.17,kansas
16,2.83,kansas
17,3.07,kansas
18,3.07,kansas
19,2.94,kansas
20,2.88,kansas
21,2.91,kansas
22,2.83,kansas
23,2.91,kansas
24,2.96,kansas
25,2.89,kansas
26,3.36,kansas
27,3.32,kansas
28,2.98,kansas
29,3.04,kansas
30,2.94,kansas
31,3.25,kansas
32,3.74,kansas
33,3.17,kansas
34,3.58,kansas
35,3.3,kansas
36,3.51,kansas
37,3.47,kansas
38,3.25,kansas
39,3.37,kansas
40,3.12,kansas
41,3.23,kansas
42,3.28,kansas
43,3.3,kansas
44,2.89,kansas
45,2.98,kansas
46,2.83,kansas
47,2.91,kansas
48,3.16,kansas
49,3.18,kansas
50,2.95,kansas
51,3.13,kansas
52,2.94,kansas
53,2.54,kansas
54,2.99,kansas
55,3.02,kansas
56,3.24,kansas
57,3.13,kansas
58,3.15,kansas
59,3.0,kansas
60,3.1,kansas
61,3.08,kansas
62,2.99,kansas
63,3.0,kansas
64,2.82,kansas
65,3.1,kansas
66,2.91,kansas
67,2.82,kansas
68,2.86,kansas
69,3.18,kansas
70,2.99,kansas
71,2.98,kansas
72,2.95,kansas
73,2.66,kansas
74,2.9,kansas
75,2.94,kansas
76,2.8,kansas
77,3.0,kansas
78,3.21,kansas
79,3.02,kansas
80,3.0,kansas
81,3.28,kansas
82,3.09,kansas
83,3.1,kansas
84,3.46,kansas
85,3.15,kansas
86,3.08,kansas
87,3.14,kansas
88,3.27,kansas
89,3.28,kansas
90,3.32,kansas
91,2.97,kansas
92,3.22,kansas
93,3.34,kansas
94,3.1,kansas
95,3.25,kansas
96,3.09,kansas
97,3.35,kansas
98,3.3,kansas
99,3.36,kansas
100,3.15,kansas
101,3.49,kansas
102,3.12,kansas
103,3.6,kansas
104,2.84,kansas
105,3.05,kansas
106,2.87,kansas
107,2.79,kansas
108,2.95,kansas
109,2.79,kansas
110,2.93,kansas
111,2.89,kansas
112,2.94,kansas
113,2.91,kansas
114,2.83,kansas
115,3.32,kansas
116,2.88,kansas
117,2.87,kansas
118,2.78,kansas
119,3.47,kansas
120,2.71,kansas
121,3.41,kansas
122,3.48,kansas
123,3.47,kansas
124,3.5,kansas
125,3.62,kansas
1,2.96,kentucky
2,3.18,kentucky
3,2.89,kentucky
4,2.96,kentucky
5,2.92,kentucky
6,2.8,kentucky
7,2.92,kentucky
8,3.07,kentucky
9,3.01,kentucky
10,3.17,kentucky
11,2.86,kentucky
12,2.98,kentucky
13,2.89,kentucky
14,3.06,kentucky
15,3.05,kentucky
16,3.11,kentucky
17,3.12,kentucky
18,3.23,kentucky
19,3.0,kentucky
20,2.93,kentucky
21,3.02,kentucky
22,3.05,kentucky
23,2.99,kentucky
24,3.04,kentucky
25,2.93,kentucky
26,3.15,kentucky
27,3.1,kentucky
28,3.09,kentucky
29,3.03,kentucky
30,3.3,kentucky
31,2.88,kentucky
32,2.87,kentucky
33,3.1,kentucky
34,2.85,kentucky
35,3.0,kentucky
36,3.09,kentucky
37,3.26,kentucky
38,3.24,kentucky
39,3.16,kentucky
40,3.12,kentucky
41,2.88,kentucky
42,3.26,kentucky
43,3.09,kentucky
44,3.32,kentucky
45,3.03,kentucky
46,3.08,kentucky
47,3.12,kentucky
48,3.02,kentucky
49,3.07,kentucky
50,3.05,kentucky
51,3.15,kentucky
52,3.0,kentucky
53,3.0,kentucky
54,3.03,kentucky
55,3.15,kentucky
56,2.93,kentucky
57,2.89,kentucky
58,3.25,kentucky
59,3.26,kentucky
60,3.36,kentucky
61,3.13,kentucky
62,3.0,kentucky
63,3.09,kentucky
64,3.27,kentucky
65,3.12,kentucky
66,3.26,kentucky
67,2.89,kentucky
68,3.22,kentucky
69,3.08,kentucky
70,3.04,kentucky
71,2.99,kentucky
72,3.01,kentucky
73,2.91,kentucky
74,3.04,kentucky
75,2.86,kentucky
76,2.97,kentucky
77,3.13,kentucky
78,2.94,kentucky
79,2.9,kentucky
80,3.04,kentucky
81,3.03,kentucky
82,3.21,kentucky
83,3.13,kentucky
84,2.72,kentucky
85,3.12,kentucky
86,3.12,kentucky
87,2.94,kentucky
88,3.01,kentucky
89,3.07,kentucky
90,2.92,kentucky
91,3.02,kentucky
92,2.84,kentucky
93,2.87,kentucky
94,2.68,kentucky
95,2.83,kentucky
96,3.38,kentucky
97,3.03,kentucky
98,2.98,kentucky
99,3.05,kentucky
100,3.1,kentucky
1,2.53,maine
2,2.81,maine
3,3.01,maine
4,2.99,maine
5,2.94,maine
6,3.05,maine
7,2.75,maine
8,2.62,maine
9,2.7,maine
10,3.02,maine
11,2.56,maine
12,2.7,maine
13,2.49,maine
14,2.64,maine
15,2.9,maine
16,2.93,maine
17,3.13,maine
18,3.03,maine
19,3.01,maine
20,2.83,maine
21,2.96,maine
22,3.02,maine
23,3.03,maine
24,3.01,maine
25,2.76,maine
26,3.21,maine
27,3.15,maine
28,2.84,maine
29,2.79,maine
30,2.95,maine
31,2.54,maine
32,3.02,maine
33,3.03,maine
34,2.64,maine
35,3.24,maine
36,2.9,maine
37,2.99,maine
